HR,Name,RAJ2000,DEJ2000,Vmag,B-V
631," 15    Ari",32.65666666666666,19.500277777777775,5.7,1.65
546,"  5Gam2Ari",28.382499999999997,19.293611111111108,4.75,-0.04
545,"  5Gam1Ari",28.382499999999997,19.29583333333333,4.83,
577," ",29.898749999999996,21.05833333333333,5.87,1.03
508,"109    Psc",26.232499999999998,20.083055555555553,6.27,0.75
450," ",23.70458333333333,18.460555555555555,5.89,1.52
493,"107    Psc",25.624166666666664,20.26861111111111,5.24,0.84
553,"  6Bet Ari",28.659999999999997,20.80805555555555,2.64,0.13
530,"  1    Ari",27.535416666666663,22.275277777777774,5.86,0.74
559,"  7    Ari",28.962499999999995,23.57722222222222,5.74,1.19
646," 17Eta Ari",33.20041666666666,21.21083333333333,5.27,0.43
613," 12Kap Ari",31.641249999999996,22.64833333333333,5.03,0.11
676," ",34.74166666666666,23.167777777777776,6.46,0.34
723," ",37.306666666666665,23.468888888888884,6.19,0.15
765," 30    Ari",39.25208333333333,24.647499999999997,6.5,0.41
728," ",37.635,25.234999999999996,5.92,0.41
711," ",36.77916666666666,27.01333333333333,6.18,1.43
617," 13Alp Ari",31.79333333333333,23.462499999999995,2.0,1.15
644," ",33.15624999999999,24.167777777777776,5.96,1.37
569,"  9Lam Ari",29.48208333333333,23.596111111111107,4.79,0.28
615," 11    Ari",31.704999999999995,25.70472222222222,6.15,-0.03
605," 10    Ari",30.913749999999997,25.935555555555553,5.63,0.54
657," 21    Ari",33.92833333333333,25.04305555555555,5.58,0.49
656," 20    Ari",33.94166666666666,25.783055555555553,5.79,0.44
633," 16    Ari",32.8,25.93694444444444,6.02,1.36
623," 14    Ari",32.35541666666666,25.93972222222222,4.98,0.33
675," 10    Tri",34.7375,28.642499999999995,5.03,0.04
878," 47    Ari",44.52166666666666,20.668611111111108,5.8,0.41
887," 48Eps Ari",44.80291666666666,21.340277777777775,4.63,0.04
888," 48Eps Ari",44.80291666666666,21.340277777777775,4.63,0.04
946," ",47.61249999999999,26.896388888888886,6.02,1.28
803," ",40.963333333333324,25.638055555555553,6.35,0.08
830," ",42.19125,25.188055555555554,5.86,-0.07
905," 49    Ari",45.47541666666666,26.46222222222222,5.9,0.14
838," 41    Ari",42.49583333333333,27.260555555555552,3.63,-0.1
916," ",45.87624999999999,28.269722222222217,6.36,
1000," 60    Ari",50.10666666666666,25.662777777777773,6.12,1.24
1065," ",52.83666666666666,27.57194444444444,5.96,
995," 59    Ari",49.982499999999995,27.071111111111108,5.9,0.86
954," 56    Ari",48.05916666666666,27.25694444444444,5.79,-0.12
1012," 62    Ari",50.549583333333324,27.607499999999995,5.52,1.1
999," ",50.084999999999994,29.04833333333333,4.47,1.55
945," ",47.53666666666666,27.819999999999997,6.42,0.01
944," 55    Ari",47.40291666666666,29.07694444444444,5.72,0.12
971," ",48.83541666666666,30.55666666666666,5.52,0.01
